,SF6
2015-01-16 12:00:00,8.410544
2015-02-15 00:00:00,8.436406
2015-03-16 12:00:00,8.461095
2015-04-16 00:00:00,8.494217
2015-05-16 12:00:00,8.535815
2015-06-16 00:00:00,8.561575
2015-07-16 12:00:00,8.561991
2015-08-16 12:00:00,8.590918
2015-09-16 00:00:00,8.634629
2015-10-16 12:00:00,8.668948
2015-11-16 00:00:00,8.703843
2015-12-16 12:00:00,8.730367
2016-01-16 12:00:00,8.752243
2016-02-15 00:00:00,8.772177
2016-03-16 12:00:00,8.7909565
2016-04-16 00:00:00,8.818561
2016-05-16 12:00:00,8.855058
2016-06-16 00:00:00,8.875328
2016-07-16 12:00:00,8.86961
2016-08-16 12:00:00,8.89364
2016-09-16 00:00:00,8.933246
2016-10-16 12:00:00,8.963483
2016-11-16 00:00:00,8.994699
2016-12-16 12:00:00,9.017696
2017-01-16 12:00:00,9.039408
2017-02-15 00:00:00,9.059634
2017-03-16 12:00:00,9.079228
2017-04-16 00:00:00,9.108537
2017-05-16 12:00:00,9.1476145
2017-06-16 00:00:00,9.170418
2017-07-16 12:00:00,9.1667385
2017-08-16 12:00:00,9.1940775
2017-09-16 00:00:00,9.237723
2017-10-16 12:00:00,9.271792
2017-11-16 00:00:00,9.306888
2017-12-16 12:00:00,9.333396
2018-01-16 12:00:00,9.35839
2018-02-15 00:00:00,9.381563
2018-03-16 12:00:00,9.403708
2018-04-16 00:00:00,9.43545
2018-05-16 12:00:00,9.47681
2018-06-16 00:00:00,9.500863
2018-07-16 12:00:00,9.497096
2018-08-16 12:00:00,9.525127
2018-09-16 00:00:00,9.56976
2018-10-16 12:00:00,9.604232
2018-11-16 00:00:00,9.639572
2018-12-16 12:00:00,9.665881
2019-01-16 12:00:00,9.690541
2019-02-15 00:00:00,9.713284
2019-03-16 12:00:00,9.7349825
2019-04-16 00:00:00,9.766688
2019-05-16 12:00:00,9.80845
2019-06-16 00:00:00,9.832387
2019-07-16 12:00:00,9.827619
2019-08-16 12:00:00,9.855828
2019-09-16 00:00:00,9.901276
2019-10-16 12:00:00,9.9362545
2019-11-16 00:00:00,9.972175
2019-12-16 12:00:00,9.998778
2020-01-16 12:00:00,10.02369
2020-02-15 00:00:00,10.046632
2020-03-16 12:00:00,10.068488
2020-04-16 00:00:00,10.10068
2020-05-16 12:00:00,10.143252
2020-06-16 00:00:00,10.167371
2020-07-16 12:00:00,10.16179
2020-08-16 12:00:00,10.190297
2020-09-16 00:00:00,10.236611
2020-10-16 12:00:00,10.272091
2020-11-16 00:00:00,10.308532
2020-12-16 12:00:00,10.335336
2021-01-16 12:00:00,10.360387
2021-02-15 00:00:00,10.383398
2021-03-16 12:00:00,10.40529
2021-04-16 00:00:00,10.437863
2021-05-16 12:00:00,10.481162
2021-06-16 00:00:00,10.505399
2021-07-16 12:00:00,10.498954
2021-08-16 12:00:00,10.527734
2021-09-16 00:00:00,10.574911
2021-10-16 12:00:00,10.610898
2021-11-16 00:00:00,10.647879
2021-12-16 12:00:00,10.674911
2022-01-16 12:00:00,10.700135
2022-02-15 00:00:00,10.723258
2022-03-16 12:00:00,10.745227
2022-04-16 00:00:00,10.778232
2022-05-16 12:00:00,10.822312
2022-06-16 00:00:00,10.846715
2022-07-16 12:00:00,10.83944
2022-08-16 12:00:00,10.868538
2022-09-16 00:00:00,10.916629
2022-10-16 12:00:00,10.953163
2022-11-16 00:00:00,10.9907255
2022-12-16 12:00:00,11.018012
2023-01-16 12:00:00,11.043433
2023-02-15 00:00:00,11.06668
2023-03-16 12:00:00,11.088733
2023-04-16 00:00:00,11.1221695
2023-05-16 12:00:00,11.167027
2023-06-16 00:00:00,11.191575
2023-07-16 12:00:00,11.183438
2023-08-16 12:00:00,11.212825
2023-09-16 00:00:00,11.261803
2023-10-16 12:00:00,11.298856
2023-11-16 00:00:00,11.336967
2023-12-16 12:00:00,11.364482
2024-01-16 12:00:00,11.390073
2024-02-15 00:00:00,11.4134245
2024-03-16 12:00:00,11.43555
2024-04-16 00:00:00,11.46942
2024-05-16 12:00:00,11.515073
2024-06-16 00:00:00,11.539784
2024-07-16 12:00:00,11.530804
2024-08-16 12:00:00,11.560515
2024-09-16 00:00:00,11.610425
2024-10-16 12:00:00,11.648044
2024-11-16 00:00:00,11.686749
2024-12-16 12:00:00,11.714528
2025-01-16 12:00:00,11.740323
2025-02-15 00:00:00,11.763806
2025-03-16 12:00:00,11.786025
2025-04-16 00:00:00,11.820339
2025-05-16 12:00:00,11.866791
2025-06-16 00:00:00,11.891654
2025-07-16 12:00:00,11.881795
2025-08-16 12:00:00,11.911803
2025-09-16 00:00:00,11.962617
2025-10-16 12:00:00,12.000764
2025-11-16 00:00:00,12.0400305
2025-12-16 12:00:00,12.068036
2026-01-16 12:00:00,12.094001
2026-02-15 00:00:00,12.117584
2026-03-16 12:00:00,12.139867
2026-04-16 00:00:00,12.174613
2026-05-16 12:00:00,12.221863
2026-06-16 00:00:00,12.246881
2026-07-16 12:00:00,12.236146
2026-08-16 12:00:00,12.266469
2026-09-16 00:00:00,12.318219
2026-10-16 12:00:00,12.356925
2026-11-16 00:00:00,12.396779
2026-12-16 12:00:00,12.42504
2027-01-16 12:00:00,12.451196
2027-02-15 00:00:00,12.474899
2027-03-16 12:00:00,12.49726
2027-04-16 00:00:00,12.532445
2027-05-16 12:00:00,12.580495
2027-06-16 00:00:00,12.605656
2027-07-16 12:00:00,12.594013
2027-08-16 12:00:00,12.624629
2027-09-16 00:00:00,12.677293
2027-10-16 12:00:00,12.716527
2027-11-16 00:00:00,12.756943
2027-12-16 12:00:00,12.785432
2028-01-16 12:00:00,12.811753
2028-02-15 00:00:00,12.835553
2028-03-16 12:00:00,12.857976
2028-04-16 00:00:00,12.8935995
2028-05-16 12:00:00,12.942462
2028-06-16 00:00:00,12.96778
2028-07-16 12:00:00,12.955245
2028-08-16 12:00:00,12.986183
2028-09-16 00:00:00,13.039805
2028-10-16 12:00:00,13.07961
2028-11-16 00:00:00,13.120632
2028-12-16 12:00:00,13.149383
2029-01-16 12:00:00,13.175906
2029-02-15 00:00:00,13.199833
2029-03-16 12:00:00,13.222337
2029-04-16 00:00:00,13.258414
2029-05-16 12:00:00,13.308095
2029-06-16 00:00:00,13.333564
2029-07-16 12:00:00,13.320106
2029-08-16 12:00:00,13.351342
2029-09-16 00:00:00,13.405896
2029-10-16 12:00:00,13.446242
2029-11-16 00:00:00,13.487835
2029-12-16 12:00:00,13.516811
2030-01-16 12:00:00,13.543499
2030-02-15 00:00:00,13.56752
2030-03-16 12:00:00,13.590083
2030-04-16 00:00:00,13.626592
2030-05-16 12:00:00,13.677091
2030-06-16 00:00:00,13.702705
2030-07-16 12:00:00,13.688323
2030-08-16 12:00:00,13.719878
2030-09-16 00:00:00,13.775388
2030-10-16 12:00:00,13.816304
2030-11-16 00:00:00,13.858498
2030-12-16 12:00:00,13.887727
2031-01-16 12:00:00,13.914604
2031-02-15 00:00:00,13.93874
